"pais","anio","inflacion","gdp","desempleo"
"Isle of Man",2022,0.137911563169562,-4.16539345213232,7.284
"India",2011,8.9117933648337,5.24131619937695,7.616
"India",2016,4.94821634062135,8.25630550179086,7.601
"India",2022,6.69903414079849,7.60936497768895,4.822
"Ireland",2011,2.54897830208553,1.64877400406158,15.354
"Ireland",2016,0.0201247735962648,1.2226384923421,8.374
"Ireland",2022,7.82945736434107,8.61950345618772,4.501
"Iran, Islamic Rep.",2016,7.24542548952977,8.8150866425182,12.618
"Iraq",2011,5.17980847967062,7.546471200426,8.191
"Iraq",2022,4.99476596381041,7.95904804992662,15.511
"Iceland",2011,4.00102664343118,1.84577914882841,7.028
"Iceland",2016,1.69692761997744,6.30368712479275,2.978
"Iceland",2022,8.30875511558923,8.97897085175497,3.789
"Israel",2011,3.48837209302326,5.51879621371651,7.139
"Israel",2016,-0.53516819571867,4.45978271860821,4.723
"Israel",2022,4.41162725488366,6.26326343841286,3.695
"Italy",2011,2.78063272879327,0.695463154440176,8.359
"Italy",2016,-0.094016656915686,1.23622108511661,11.688
"Italy",2022,8.20128991161714,4.82117669913565,8.069
"Jamaica",2011,7.55585646580902,1.73037626746921,8.034
"Jamaica",2016,2.35102197485846,1.37522306445538,8.634
"Jamaica",2022,10.3495688391272,5.22151985159613,4.083
"Jordan",2011,4.16244162927783,2.73717988632104,12.9
"Jordan",2016,-0.77843046305416,1.9941808493012,15.275
"Jordan",2022,4.22915568897118,2.64743514912058,18.2
"Japan",2011,-0.272455616101245,0.0238095237995424,4.55
"Japan",2016,-0.127258844489712,0.753826745789127,3.132
"Japan",2022,2.49770278172251,0.941998775483285,2.6
"Kazakhstan",2011,8.452904661768,7.40000000144188,5.39
"Kazakhstan",2016,14.3610942386248,1.09999999910173,4.96
"Kazakhstan",2022,15.0278644440851,3.19999999970734,4.86
"Kenya",2011,14.0224913014704,5.1211061197056,2.704
"Kenya",2016,6.29724953814624,4.21351706814744,2.757
"Kenya",2022,7.65986268272222,4.85998104287999,5.707
"Kyrgyz Republic",2011,16.6363262731496,5.95627429693504,2.999
"Kyrgyz Republic",2016,0.388838296895841,4.33585592190116,3.474
"Kyrgyz Republic",2022,13.9229093174176,8.96750520041391,4.043
"Cambodia",2011,5.4784474961745,7.28665813879552,0.577
"Cambodia",2016,3.01913975139129,7.90550116130704,0.716
"Cambodia",2022,5.34370264895434,5.12990110767267,0.231
"Kiribati",2011,1.49740979875966,3.26372719532225,16.604
"Kiribati",2016,1.91731090233377,7.08803465778669,8.634
"Kiribati",2022,5.34595440908903,4.56632593100372,7.139
